ID,Location_city,category,guests,highlights,lat,location,long,pets_allowed,Price_usd,price_category,ratings,reviews,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,Earliest_Check-in_time,Checkout_time,Guest_Maximum,House_type,Bedroom_count,Bathroom_count,Room Type,Bed,Bathroom
224,"Salt Lake City, Utah, United States",Accommodations,1,"[{""name"":""Adele és un Superhost."",""value"":""Els Superhosts són amfitrions amb experiència i molt bones avaluacions que s'esforcen al màxim per oferir estades fantàstiques als seus hostes.""}]",40.76691,"Salt Lake City, Utah, Estats Units",-111.87244,,0,Under USD$100,4.86,"[""You will love Adele and her house!!"",""Adele's place is a 20 min walk from the convention center, and a straight shot down main roads. The room was much larger than I expected, with a couple of chairs, a dresser and microwave, and a/c in the window (N facing). She has two poodle puppies who are ninja quiet and well-behaved. Adele is a great host, very warm and inviting and with a perpetual smile. Check-in was painless."",""The room as exactly as advertised.  Bed was super comfy.   Location was perfect for both downtown and stadium events."",""Best place that you can have specially if you want to access downtown and the University. Kindness abounds in this place. Very private and hostess is the BEST!"",""Adela's house is wonderful. First, the location is super convenient as it is in the downtown area. You can find bunch of markets (Whole food, Trader Joe's, Sprouts) and restaurants just a few block away.  Also, the location is close to multiple public transportations: three blocks away from the UTA Trax station and just 4 minutes walking to the Park City connection bus stop. Second, I really like the vintage decoration in her lovely house. All the decoration are stylish and beautiful, such as the maps, chairs and lightings. She also has a spacious kitchen which is exactly the kind of kitchen that I want to have in my home. Third, Adela is so warm heart. I feel like she toke care of me like my grandma. She gave me many good local tips and always asked me if I need sth. You will feel like living in another warm home."",""Adele is a lovely lady with a big heart"",""Stayed with Adele twice and thoroughly enjoyed it both times. A wonderful host and great person overall.""]",4,4,4,5,5,4,12:00:00 PM,12:00:00 PM,1,Private room,1,1,1 bedroom,1 bed,1 bathroom
833,"Salt Lake City, Utah, United States",Accommodations,2,"[{""name"":""Ideals per treballar a distància"",""value"":""Una wifi ràpida de 237 Mbps i un espai de treball exclusiu en una zona comuna.""},{""name"":""Accés independent"",""value"":""Accedeix a l'allotjament pel teu compte amb la caixa forta per a claus.""},{""name"":""Una ubicació fantàstica"",""value"":""El 100 % dels hostes ha valorat la ubicació amb 5 estrelles.""}]",40.68293,"Salt Lake City, Utah, Estats Units",-112.01009,,0,Under USD$100,5,"[""The most outrageous Airbnb hosts. They place is comfortable, clean, cozy and  private."",""We thoroughly enjoyed our stay! Nam had hot delicious soup ready for us upon our arrival! The home felt warm and inviting. Our room was very nice with so many thoughtful details to make our stay comfortable. Nam and Lily were both so welcoming and friendly. It felt like we were staying with family."",""The stay was perfect and Nam went above and beyond expectation! Super friendly and helpful and enjoyed all the hiking, running, shopping, and living tips! Lovely and clean accommodations and the checkin process was super easy. Highly recommend and you’ll leave with a few more friends than you had before!!!"",""Nam is really nice and kind, and the stay was amazing to me. Everything is comfortable and clean. I will come back next time."",""Nam was a great host easy to communicate with! The house was in a nice neighborhood was homey feeling. Thanks guys."",""it was an amazing place to stay very clean. The host was very nice and friendly. Very communicative.10/10 recommend"",""Great great great place to stay for the value. Clean and accommodating. The bed was so comfortable! If I ever go through Salt Lake City again, I will definitely look for this spot again.""]",5,5,5,5,5,5,3:00:00 PM,11:00:00 AM,2,Private room,1,1,1 bedroom,1 bed,1 bathroom
60,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Dedicated workspace"",""value"":""A private room with wifi that’s well-suited for working.""},{""name"":""Self check-in"",""value"":""Check yourself in with the keypad.""},{""name"":""Tyler is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""}]",40.65882,"Salt Lake City, Utah, United States",-111.93988,,31,Under USD$100,4.95,"[""Very peaceful and beautiful space. :)<br/><br/>Not having access to kitchen space made it hard to keep the space as clean as I wanted it to be. <br/><br/>There needs to be more kitchen tools and space in the room for it to really work smoothly."",""Tyler and Vanessa’s place was great and kept spotless and the room was very spacious and clean!"",""Outstanding host. Will definitely stay again"",""We had a great stay at Tyler & Vanessa's place. Spacious room with everything you need for a comfortable stay. Nice bathroom as well. All was clean. Easy-to-follow instructions on how to check in, check out, use the washer, parking, wifi and so on. Thanks to our hosts!"",""Tyler made me feel very welcomed and that I could ask any question. Great communication. Very clean. Wonderful atmosphere."",""Great stay"",""Clean, quiet, and easygoing. Tyler is a wonderful host!""]",5,4.9,5,4.7,5,4.8,3:00:00 PM,11:00:00 AM,2,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
113,"Salt Lake City, Utah, United States",Stays,1,"[{""name"":""Self check-in"",""value"":""Check yourself in with the lockbox.""},{""name"":""Regina is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""},{""name"":""Great location"",""value"":""100% of recent guests gave the location a 5-star rating.""}]",40.72675,"Salt Lake City, Utah, United States",-111.82195,,31,Under USD$100,5,"[""Great place! Room is larger than I thought, the bed comfy, the shower hot! Thanks Regina!"",""Regina's home was a great place to settle into for a couple of weeks while in SLC. Ample street parking, great hiking off the BST nearby, and a quick trip to downtown/9th&9th areas. Unfortunately, I ended up being sick for a good portion of my stay, however, this allows me to confidently say that the room is comfortable, has great natural light, and a great desk/chair combo in which to work remotely.<br/><br/>Regina was super nice and an informative host and Maverick (puppy) was one of the highlights of the stay. Thanks again Regina!"",""Perfect home, guests, hosts, location and stay. Couldn’t speak more highly of Regina’s place!"",""I’ve got nothing bad to say. Such a wonderful place"",""Loved staying with Regina. Host is super friendly and accommodating. Room was clean, and the location of the Air BnB is in a great spot. Only 10-15 minutes away from downtown Salt Lake City, short drive to multiple hiking spots, and the house itself is in a quiet neighborhood. 10/10 would rent this room again."",""Regina, is very nice. She tends to have long term renters and her home felt like my home. She was very responsive when I needed help."",""Great place to stay for the month. Good location. Great value.""]",4.9,5,5,5,5,4.9,,12:00:00 PM,1,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
363,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Self check-in"",""value"":""Check yourself in with the lockbox.""},{""name"":""Great check-in experience"",""value"":""100% of recent guests gave the check-in process a 5-star rating.""},{""name"":""Great communication"",""value"":""95% of recent guests rated Kyle 5-star in communication.""}]",40.789913,"Salt Lake City, Utah, United States",-111.91732,,31,Under USD$100,4.63,"[""Great value. Very chill. Good location if you want to play in the city."",""Very responsive and a clean space, very easy check-in."",""The stay was great the host was very helpful I would definitely stay again."",""Beautiful and comfortable great place to stay would definitely stay again"",""Great place. Would stay here again."",""The room was nice and Clean and quiet definitely going to stay there again awesome state👌👍"",""Nice and comfortable room but early check out""]",4.5,4.8,4.8,4.7,4.8,4.7,5:00:00 PM,9:00:00 AM,2,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
301,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Daniel is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""}]",40.74772,"Salt Lake City, Utah, United States",-111.863,,32,Under USD$100,4.89,"[""As always, great host in a great place!"",""Once again, Daniel was a great host.  Place was comfy and well furnished.  Conveniently located.  Grab it if you can!"",""Daniel is an amazing host! He is extremely attentive, responds in minutes, and goes out his way to make sure guests have the best experience they can get. I recommend 10/10! Will definitely rebook when at Salt Lake City!"",""Great location with easy access throughout the city and to the mountains. Comfortable for an extended stay. Good hospitality and responsiveness from the host."",""Great place and a five-star host"",""Great place (with parking!) near downtown!  We would definitely stay here again."",""We had a wonderful month staying here. Daniel's apartment was very clean and cozy. The bed was comfortable, the wifi extremely fast and reliable, and the shower had plenty of hot water for back-to-back showers at good pressure. We would happily return for another stay. Although it is a mostly below ground apartment, it doesn't feel like a basement. The renovations felt homey, providing plenty of light, and the heater is powerful. The kitchen isn't big (it matches the pictures) but we cooked almost every meal for a month with no issues. The shared coin laundry room shares a wall with the back of the apartment. We walked around the neighborhood at least a couple times a week. It feels very safe and the people are friendly. There is a restaurants and grocery shopping area just a couple blocks away and it was also a short walk to the large park. Daniel is among the most hospitable hosts we have had with Airbnb. He responds very fast to questions and went beyond to help us with things unrelated to the apartment. Thank you!""]",4.8,5,5,5,4.9,4.8,3:00:00 PM,11:00:00 AM,2,Entire rental unit,1,1,1 bedroom,1 bed,1 bathroom
334,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Self check-in"",""value"":""Check yourself in with the keypad.""},{""name"":""Yaroch is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""},{""name"":""Great location"",""value"":""95% of recent guests gave the location a 5-star rating.""}]",40.76371,"Salt Lake City, Utah, United States",-111.86842,1,32,Under USD$100,4.67,"[""my visit here was short but it was just when I needed an affordable. thank you"",""Extremely convenient location for anyone passing through town, grocery store within walking distance. House was clean, quiet, and the room was outfitted with plenty of extra pillows and blankets."",""Simple and convenient. Phenomenal environment. Definitely would stay again."",""Always a pleasure to stay here. My second stay and plan to return when I come in town."",""Everything is covered in the notes sent with the reservation. House has beautiful plants!"",""Thank you"",""The house is in a quiet location. Cozy, and cute. Right down town. Had everything we needed for the stay.""]",4.6,4.8,4.9,4.9,4.9,4.8,3:00:00 PM,11:00:00 AM,2,Private room,1,2,1 bedroom,1 bed,2 shared bathrooms
464,"Salt Lake City, Utah, United States",Stays,1,"[{""name"":""Dedicated workspace"",""value"":""A private room with wifi that’s well-suited for working.""},{""name"":""Philip is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""},{""name"":""Great location"",""value"":""100% of recent guests gave the location a 5-star rating.""}]",40.72738,"Salt Lake City, Utah, United States",-111.89644,,33,Under USD$100,4.75,"[""Phil's place was great!<br/>I stayed in the 27 Club, downstairs which is spacious and accommodating with access to a side entrance for more privacy. Phil is very charismatic and personable and made sure I had everything I needed during my stay. <br/>Altogether, the place has a hip, refreshing vibe. I would definitely recommend and I will definitely be back."",""Walking distance to the train, so it’s super easy to get anywhere. Nice comfortable place to stay"",""Club 27 is a must! Philip is a great host you will be very satisfied at his place. Thank you Philip"",""Philip is a great host, very conscientious of his visitors.   Quiet at 10pm was honored by everyone."",""great location and lovely room, would stay again"",""One of my favourite Airbnb hosts so far. He was very helpful and welcoming, and great to chat with. The location is also very good, just 10 minutes walk from the train station."",""Great budget stay""]",4.8,4.7,4.8,4.7,4.8,4.7,3:00:00 PM,11:00:00 AM,1,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
533,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Self check-in"",""value"":""Check yourself in with the lockbox.""}]",40.735,"Salt Lake City, Utah, United States",-111.93694,,33,Under USD$100,4,"[""Great for a quick overnight stay!""]",,,,,,,1:00:00 PM,11:00:00 AM,2,Private room,1,2,2 bedrooms,1 bed,2 bathrooms
849,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Dedicated workspace"",""value"":""A private room with wifi that’s well-suited for working.""},{""name"":""David is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""}]",40.74583,"Salt Lake City, Utah, United States",,,33,Under USD$100,4.44,"[""Great area. Across the street from an awesome city park. Great central location in Salt Lake City."",""Great value place in an amazing location!"",""Excellent location and hospitality."",""Great location"",""Excellent and friendly place to stay. Near beautiful part of Salt Lake City."",""Great location, amazing park across the street. David is a great host and goes above and beyond."",""Great place to wonder in the wonderful-ness of Utah""]",4.3,4.7,4.8,4.9,4.8,4.7,4:00:00 PM,11:00:00 AM,2,Private room,2,2,1 bedroom,2 beds,2 shared bathrooms
